,Gene,Prediction,Measured_growth,Growth_cutoff,Computational_growth,Condition,Dataset
22512,b1102,TP,"1,013333333","0,5","0,8217979336",Glucose,Monk 2015
22513,b1103,TP,"1,016666667","0,5","0,8217979336",Glucose,Monk 2015
22514,b1106,TP,"0,976666667","0,5","0,8217979336",Glucose,Monk 2015
22515,b1107,TP,"1,04","0,5","0,8217979336",Glucose,Monk 2015
22516,b1109,TP,"0,896666667","0,5","0,8217979336",Glucose,Monk 2015
22517,b1113,TP,"0,996666667","0,5","0,8217979336",Glucose,Monk 2015
22518,b1119,TP,"0,913333333","0,5","0,8217979336",Glucose,Monk 2015
22519,b1123,TP,"1,023333333","0,5","0,8217979336",Glucose,Monk 2015
22520,b1124,TP,"1,02","0,5","0,8217979336",Glucose,Monk 2015
22521,b1125,TP,"1,023333333","0,5","0,8217979336",Glucose,Monk 2015
22522,b1126,TP,"1,013333333","0,5","0,8217979336",Glucose,Monk 2015
22523,b1131,TN,0,"0,5",0,Glucose,LB_essential
22524,b1134,TP,"1,013333333","0,5","0,8217979336",Glucose,Monk 2015
22525,b1136,TN,0,"0,5",0,Glucose,Monk 2015
22526,b1185,TP,"0,86","0,5","0,8217979336",Glucose,Monk 2015
22527,b1186,TP,"0,933333333","0,5","0,8217979336",Glucose,Monk 2015
22528,b1189,TP,"0,96","0,5","0,8217979336",Glucose,Monk 2015
22529,b1190,TP,"0,953333333","0,5","0,8217979336",Glucose,Monk 2015
22530,b1192,TP,"0,503333333","0,5","0,8217979336",Glucose,Monk 2015
22531,b1193,TP,"1,01","0,5","0,8217979336",Glucose,Monk 2015
22532,b1197,TP,"1,033333333","0,5","0,8217979336",Glucose,Monk 2015
22533,b1198,TP,"0,933333333","0,5","0,8217979336",Glucose,Monk 2015
22534,b1199,TP,"1,06","0,5","0,8217979336",Glucose,Monk 2015
22535,b1200,TP,"1,02","0,5","0,8217979336",Glucose,Monk 2015
22536,b1206,TP,"0,93","0,5","0,8217979336",Glucose,Monk 2015
22537,b1207,FP,0,"0,5","0,8217979336",Glucose,LB_essential
22538,b1208,TN,0,"0,5",0,Glucose,LB_essential
22539,b1210,TN,0,"0,5",0,Glucose,LB_essential
22540,b1215,TN,0,"0,5",0,Glucose,LB_essential
22541,b1216,TP,"1,026666667","0,5","0,8217979336",Glucose,Monk 2015
22542,b1223,TP,"0,94","0,5","0,8217979336",Glucose,Monk 2015
22543,b1224,TP,"0,85","0,5","0,8217979336",Glucose,Monk 2015
22544,b1225,TP,"0,973333333","0,5","0,8217979336",Glucose,Monk 2015
22545,b1226,TP,"0,91","0,5","0,8217979336",Glucose,Monk 2015
22546,b1227,TP,"0,993333333","0,5","0,8217979336",Glucose,Monk 2015
22547,b1232,TP,"0,626666667","0,5","0,8217979331",Glucose,Monk 2015
22548,b1236,TP,"0,896666667","0,5","0,8217979336",Glucose,Monk 2015
22549,b1238,TP,"0,976666667","0,5","0,8217979336",Glucose,Monk 2015
22550,b1241,TP,"0,88","0,5","0,8217979336",Glucose,Monk 2015
22551,b1243,TP,"0,976666667","0,5","0,8217979336",Glucose,Monk 2015
22552,b1244,TP,"1,063333333","0,5","0,8217979336",Glucose,Monk 2015
22553,b1245,TP,"0,963333333","0,5","0,8217979336",Glucose,Monk 2015
22554,b1246,TP,"1,026666667","0,5","0,8217979336",Glucose,Monk 2015
22555,b1247,TP,"0,923333333","0,5","0,8217979336",Glucose,Monk 2015
22556,b1249,TP,1,"0,5","0,8217979336",Glucose,Monk 2015
22557,b1250,TP,"1,006666667","0,5","0,8217979336",Glucose,Monk 2015
22558,b1252,FP,"0,25","0,5","0,8217979336",Glucose,Monk 2015
22559,b1260,TN,0,"0,5",0,Glucose,Monk 2015
22560,b1261,TN,0,"0,5",0,Glucose,Monk 2015
22561,b1262,TN,"0,033333333","0,5",0,Glucose,Monk 2015
22562,b1263,TN,"0,196666667","0,5",0,Glucose,Monk 2015
22563,b1264,TN,"0,131666667","0,5",0,Glucose,Monk 2015
22564,b1270,TP,"0,966666667","0,5","0,8217979336",Glucose,Monk 2015
22565,b1276,TP,"1,006666667","0,5","0,8217979336",Glucose,Monk 2015
22566,b1277,TN,0,"0,5",0,Glucose,LB_essential
22567,b1278,TP,"0,8","0,5","0,8217979336",Glucose,Monk 2015
22568,b1281,TN,0,"0,5",0,Glucose,Monk 2015
22569,b1285,TP,"1,098333333","0,5","0,8217979336",Glucose,Monk 2015
22570,b1288,TN,0,"0,5",0,Glucose,LB_essential
22571,b1291,TP,"0,93","0,5","0,8217979336",Glucose,Monk 2015
22572,b1296,TP,"0,966666667","0,5","0,8217979336",Glucose,Monk 2015
22573,b1297,TP,"0,993333333","0,5","0,8217979336",Glucose,Monk 2015
22574,b1298,TP,"0,783333333","0,5","0,8217979336",Glucose,Monk 2015
22575,b1300,TP,"1,05","0,5","0,8217979336",Glucose,Monk 2015
22576,b1301,TP,"1,05","0,5","0,8217979336",Glucose,Monk 2015
22577,b1302,TP,"1,046666667","0,5","0,8217979336",Glucose,Monk 2015
22578,b1308,TP,"1,013333333","0,5","0,8217979336",Glucose,Monk 2015
22579,b1317,TP,"0,98","0,5","0,8217979336",Glucose,Monk 2015
22580,b1319,TP,"0,97","0,5","0,8217979336",Glucose,Monk 2015
22581,b1325,TP,"0,823333333","0,5","0,8217979336",Glucose,Monk 2015
22582,b1326,TP,"1,023333333","0,5","0,8217979336",Glucose,Monk 2015
22583,b1329,TP,"0,986666667","0,5","0,8217979336",Glucose,Monk 2015
22584,b1330,TP,"1,066666667","0,5","0,8217979336",Glucose,Monk 2015
22585,b1336,TP,"1,036666667","0,5","0,8217979336",Glucose,Monk 2015
22586,b1337,TP,"0,956666667","0,5","0,8217979336",Glucose,Monk 2015
22587,b1338,TP,"0,983333333","0,5","0,8217979336",Glucose,Monk 2015
22588,b1341,TP,"1,006666667","0,5","0,8217979336",Glucose,Monk 2015
22589,b1363,TP,"1,023333333","0,5","0,8217979336",Glucose,Monk 2015
22590,b1377,TP,"0,91","0,5","0,8217979336",Glucose,Monk 2015
22591,b1378,TP,"1,013333333","0,5","0,8216199426",Glucose,Monk 2015
22592,b1380,TP,"0,99","0,5","0,8217979336",Glucose,Monk 2015
22593,b1385,TP,"0,95","0,5","0,8217979336",Glucose,Monk 2015
22594,b1386,TP,"0,986666667","0,5","0,8217979336",Glucose,Monk 2015
22595,b1387,TP,"1,073333333","0,5","0,8217979336",Glucose,Monk 2015
22596,b1388,TP,"0,99","0,5","0,8217979336",Glucose,Monk 2015
22597,b1389,TP,"0,933333333","0,5","0,8217979336",Glucose,Monk 2015
22598,b1390,TP,"1,026666667","0,5","0,8217979336",Glucose,Monk 2015
22599,b1391,TP,"1,02","0,5","0,8217979336",Glucose,Monk 2015
22600,b1392,TP,"1,013333333","0,5","0,8217979336",Glucose,Monk 2015
22601,b1393,TP,"1,053333333","0,5","0,8217979336",Glucose,Monk 2015
22602,b1394,TP,"1,001666667","0,5","0,8217979336",Glucose,Monk 2015
22603,b1395,TP,"1,046666667","0,5","0,8217979336",Glucose,Monk 2015
22604,b1396,TP,"0,893333333","0,5","0,8217979336",Glucose,Monk 2015
22605,b1397,TP,"1,023333333","0,5","0,8217979336",Glucose,Monk 2015
22606,b1398,TP,"0,933333333","0,5","0,8217979336",Glucose,Monk 2015
22607,b1400,TP,"1,003333333","0,5","0,8217979336",Glucose,Monk 2015
22608,b1415,TP,"1,103333333","0,5","0,8217979336",Glucose,Monk 2015
22609,b1430,TP,"1,08","0,5","0,8217979336",Glucose,Monk 2015
22610,b1440,TP,"0,95","0,5","0,8217979336",Glucose,Monk 2015
22611,b1441,TP,"1,056666667","0,5","0,8217979336",Glucose,Monk 2015
22612,b1442,TP,"0,966666667","0,5","0,8217979336",Glucose,Monk 2015
22613,b1443,TP,"1,066666667","0,5","0,8217979336",Glucose,Monk 2015
22614,b1444,TP,"0,903333333","0,5","0,8217979336",Glucose,Monk 2015
22615,b1448,TP,"1,073333333","0,5","0,8217979336",Glucose,Monk 2015
22616,b1449,TP,"1,16","0,5","0,8217979336",Glucose,Monk 2015
22617,b1453,TP,"1,043333333","0,5","0,8217979336",Glucose,Monk 2015
22618,b1463,TP,"1,026666667","0,5","0,8217979336",Glucose,Monk 2015
22619,b1465,TP,"0,98","0,5","0,8217979336",Glucose,Monk 2015
22620,b1466,TP,"0,926666667","0,5","0,8217979336",Glucose,Monk 2015
22621,b1467,TP,"1,08","0,5","0,8217979336",Glucose,Monk 2015
22622,b1468,TP,"1,06","0,5","0,8217979336",Glucose,Monk 2015
22623,b1469,TP,"0,956666667","0,5","0,8217979336",Glucose,Monk 2015
22624,b1473,TP,"0,913333333","0,5","0,8217979336",Glucose,Monk 2015
22625,b1474,TP,"1,016666667","0,5","0,8217979336",Glucose,Monk 2015
22626,b1475,TP,"1,04","0,5","0,8217979336",Glucose,Monk 2015
22627,b1476,TP,"0,996666667","0,5","0,8217979336",Glucose,Monk 2015
22628,b1478,TP,"1,013333333","0,5","0,8217979336",Glucose,Monk 2015
22629,b1479,TP,1,"0,5","0,8217979336",Glucose,Monk 2015
22630,b1483,TP,"1,01","0,5","0,8217979336",Glucose,Monk 2015
22631,b1484,TP,"1,086666667","0,5","0,8217979336",Glucose,Monk 2015
22632,b1485,TP,"1,026666667","0,5","0,8217979336",Glucose,Monk 2015
22633,b1486,TP,"0,963333333","0,5","0,8217979336",Glucose,Monk 2015
22634,b1487,TP,"1,006666667","0,5","0,8217979336",Glucose,Monk 2015
22635,b1488,TP,"0,963333333","0,5","0,8217979336",Glucose,Monk 2015
22636,b1489,TP,"1,033333333","0,5","0,8217979336",Glucose,Monk 2015
22637,b1490,TP,"1,01","0,5","0,8217979336",Glucose,Monk 2015
22638,b1492,TP,"1,03","0,5","0,8217979336",Glucose,Monk 2015
22639,b1493,TP,"1,076666667","0,5","0,8217979336",Glucose,Monk 2015
22640,b1511,TP,"0,693333333","0,5","0,8217884",Glucose,Monk 2015
22641,b1513,TP,"1,07","0,5","0,8217979336",Glucose,Monk 2015
22642,b1514,TP,"0,993333333","0,5","0,8217979336",Glucose,Monk 2015
22643,b1515,TP,"0,966666667","0,5","0,8217979336",Glucose,Monk 2015
22644,b1516,TP,"0,983333333","0,5","0,8217979336",Glucose,Monk 2015
22645,b1517,TP,"0,98","0,5","0,8217884",Glucose,Monk 2015
22646,b1518,TP,"0,963333333","0,5","0,8217884",Glucose,Monk 2015
22647,b1519,TP,"0,96","0,5","0,8217979336",Glucose,Monk 2015
22648,b1521,TP,"1,083333333","0,5","0,8217979336",Glucose,Monk 2015
22649,b1524,TP,"1,056666667","0,5","0,8217979336",Glucose,Monk 2015
22650,b1525,TP,"1,056666667","0,5","0,8217979336",Glucose,Monk 2015
22651,b1528,TP,"0,973333333","0,5","0,8217979336",Glucose,Monk 2015
22652,b1533,TP,"0,953333333","0,5","0,8217979336",Glucose,Monk 2015
22653,b1535,TP,"1,003333333","0,5","0,8217979336",Glucose,Monk 2015
22654,b1539,TP,"1,006666667","0,5","0,8217979336",Glucose,Monk 2015
22655,b1584,TP,"1,003333333","0,5","0,8217979336",Glucose,Monk 2015
22656,b1587,TP,"0,95","0,5","0,8217979336",Glucose,Monk 2015
22657,b1588,TP,"0,99","0,5","0,8217979336",Glucose,Monk 2015
22658,b1589,TP,"0,98","0,5","0,8217979336",Glucose,Monk 2015
22659,b1590,TP,"1,006666667","0,5","0,8217979336",Glucose,Monk 2015
22660,b1592,TP,"0,956666667","0,5","0,8217979336",Glucose,Monk 2015
22661,b1599,TP,"0,886666667","0,5","0,8217979336",Glucose,Monk 2015
22662,b1600,TP,"1,12","0,5","0,8217979336",Glucose,Monk 2015
22663,b1601,TP,"0,913333333","0,5","0,8217979336",Glucose,Monk 2015
22664,b1602,TP,"1,103333333","0,5","0,8217979336",Glucose,Monk 2015
22665,b1603,TP,"0,896666667","0,5","0,8217979336",Glucose,Monk 2015
22666,b1605,TP,"1,003333333","0,5","0,8217979336",Glucose,Monk 2015
22667,b1606,TP,"1,033333333","0,5","0,8217979336",Glucose,Monk 2015
22668,b1611,TP,"1,146666667","0,5","0,8217979336",Glucose,Monk 2015
22669,b1612,TP,"0,95","0,5","0,8217979336",Glucose,Monk 2015
22670,b1613,TP,1,"0,5","0,8217979336",Glucose,Monk 2015
22671,b1616,TP,"1,036666667","0,5","0,8217979336",Glucose,Monk 2015
22672,b1617,TP,"0,986666667","0,5","0,8217979336",Glucose,Monk 2015
22673,b1619,TP,"0,976666667","0,5","0,8217979336",Glucose,Monk 2015
22674,b1621,TP,"1,036666667","0,5","0,8217979336",Glucose,Monk 2015
22675,b1622,TP,"1,046666667","0,5","0,8217979336",Glucose,Monk 2015
22676,b1623,TP,"1,03","0,5","0,8217979336",Glucose,Monk 2015
22677,b1634,TP,"0,96","0,5","0,8217979336",Glucose,Monk 2015
22678,b1636,TP,"1,05","0,5","0,8217979336",Glucose,Monk 2015
22679,b1638,FP,"0,011666667","0,5","0,8217979336",Glucose,Monk 2015
22680,b1640,TP,"0,98","0,5","0,8217979336",Glucose,Monk 2015
22681,b1646,TP,"1,02","0,5","0,8217979336",Glucose,Monk 2015
22682,b1651,TP,"1,063333333","0,5","0,8217979336",Glucose,Monk 2015
22683,b1654,TP,"0,953333333","0,5","0,8217979336",Glucose,Monk 2015
22684,b1655,TP,"1,083333333","0,5","0,8217979336",Glucose,Monk 2015
22685,b1656,TP,"1,033333333","0,5","0,8217979336",Glucose,Monk 2015
22686,b1661,TP,"0,976666667","0,5","0,8217979336",Glucose,Monk 2015
22687,b1662,TN,0,"0,5",0,Glucose,LB_essential
22688,b1676,TP,"0,963333333","0,5","0,8217979336",Glucose,Monk 2015
22689,b1677,TP,"0,706666667","0,5","0,8217979336",Glucose,Monk 2015
22690,b1678,TP,"0,846666667","0,5","0,8217979336",Glucose,Monk 2015
22691,b1679,TP,"0,913333333","0,5","0,8217979336",Glucose,Monk 2015
22692,b1680,TP,"1,006666667","0,5","0,8217979336",Glucose,Monk 2015
22693,b1681,TP,"0,95","0,5","0,8217979336",Glucose,Monk 2015
22694,b1682,TP,"1,098333333","0,5","0,8217979336",Glucose,Monk 2015
22695,b1683,TP,"0,913333333","0,5","0,8217979336",Glucose,Monk 2015
22696,b1684,FP,"0,393333333","0,5","0,8217979336",Glucose,Monk 2015
22697,b1686,TP,"0,946666667","0,5","0,8217979336",Glucose,Monk 2015
22698,b1692,TP,"0,91","0,5","0,8217979336",Glucose,Monk 2015
22699,b1693,TN,0,"0,5",0,Glucose,Monk 2015
22700,b1694,TP,"0,983333333","0,5","0,8217979336",Glucose,Monk 2015
22701,b1695,TP,"0,916666667","0,5","0,8075924361",Glucose,Monk 2015
22702,b1701,TP,"1,023333333","0,5","0,8217979336",Glucose,Monk 2015
22703,b1702,TP,"1,026666667","0,5","0,8217979336",Glucose,Monk 2015
22704,b1704,TP,"0,996666667","0,5","0,8217979336",Glucose,Monk 2015
22705,b1709,TP,"0,906666667","0,5","0,8217979336",Glucose,Monk 2015
22706,b1710,TP,"1,053333333","0,5","0,8217979336",Glucose,Monk 2015
22707,b1711,TP,"0,973333333","0,5","0,8217979336",Glucose,Monk 2015
22708,b1723,TP,"1,143333333","0,5","0,8217979336",Glucose,Monk 2015
22709,b1727,TP,"1,02","0,5","0,8217979336",Glucose,Monk 2015
22710,b1732,TP,"0,996666667","0,5","0,8217979336",Glucose,Monk 2015
22711,b1733,TP,"1,05","0,5","0,8217979336",Glucose,Monk 2015
22712,b1734,TP,"1,006666667","0,5","0,8217979336",Glucose,Monk 2015
22713,b1736,TP,"0,986666667","0,5","0,8217979336",Glucose,Monk 2015
22714,b1737,TP,"0,976666667","0,5","0,8217979336",Glucose,Monk 2015
22715,b1738,TP,"0,96","0,5","0,8217979336",Glucose,Monk 2015
22716,b1740,TN,0,"0,5",0,Glucose,LB_essential
22717,b1744,TP,"1,045","0,5","0,8217979336",Glucose,Monk 2015
22718,b1745,TP,"1,033333333","0,5","0,8217979336",Glucose,Monk 2015
22719,b1746,TP,"1,016666667","0,5","0,8217979336",Glucose,Monk 2015
22720,b1747,TP,"1,136666667","0,5","0,8217979336",Glucose,Monk 2015
22721,b1748,TP,"1,056666667","0,5","0,8217979336",Glucose,Monk 2015
22722,b1759,TP,"1,073333333","0,5","0,8217979336",Glucose,Monk 2015
22723,b1761,TP,"1,086666667","0,5","0,8217979336",Glucose,Monk 2015
22724,b1764,TP,"0,996666667","0,5","0,8217979336",Glucose,Monk 2015
22725,b1767,TP,"1,013333333","0,5","0,8217979336",Glucose,Monk 2015
22726,b1768,TP,"0,935","0,5","0,8217979336",Glucose,Monk 2015
22727,b1771,TP,"0,97","0,5","0,8217979336",Glucose,Monk 2015
22728,b1778,TP,"0,976666667","0,5","0,8217979336",Glucose,Monk 2015
22729,b1779,FP,0,"0,5","0,5758353074",Glucose,LB_essential
22730,b1781,TP,"0,946666667","0,5","0,8217979336",Glucose,Monk 2015
22731,b1794,TP,"0,986666667","0,5","0,8217979336",Glucose,Monk 2015
22732,b1798,TP,"0,94","0,5","0,8217979336",Glucose,Monk 2015
22733,b1800,TP,"1,013333333","0,5","0,8217979336",Glucose,Monk 2015
22734,b1801,TP,"1,006666667","0,5","0,8217979336",Glucose,Monk 2015
22735,b1805,TP,"1,016666667","0,5","0,8217979336",Glucose,Monk 2015
22736,b1812,FN,"0,823333333","0,5",0,Glucose,Monk 2015
22737,b1813,TP,"1,08","0,5","0,8217979336",Glucose,Monk 2015
22738,b1814,TP,"0,993333333","0,5","0,8217979336",Glucose,Monk 2015
22739,b1817,TP,"0,926666667","0,5","0,8217979336",Glucose,Monk 2015
22740,b1818,TP,"0,95","0,5","0,8217979336",Glucose,Monk 2015
22741,b1819,TP,"1,013333333","0,5","0,8217979336",Glucose,Monk 2015
22742,b1821,TP,"1,036666667","0,5","0,8217979336",Glucose,Monk 2015
22743,b1832,TP,"0,863333333","0,5","0,8217979336",Glucose,Monk 2015
22744,b1849,TP,"1,096666667","0,5","0,8217979336",Glucose,Monk 2015
22745,b1850,TP,"0,853333333","0,5","0,8217979336",Glucose,Monk 2015
22746,b1851,TP,"1,03","0,5","0,8217979331",Glucose,Monk 2015
22747,b1852,TP,"0,933333333","0,5","0,8125879432",Glucose,Monk 2015
22748,b1854,TP,"1,053333333","0,5","0,8217979336",Glucose,Monk 2015
22749,b1855,TP,"1,003333333","0,5","0,8217979336",Glucose,Monk 2015
22750,b1856,TP,"1,006666667","0,5","0,8217979336",Glucose,Monk 2015
22751,b1857,TP,"0,923333333","0,5","0,8217979336",Glucose,Monk 2015
22752,b1858,TP,"0,963333333","0,5","0,8217979336",Glucose,Monk 2015
22753,b1859,TP,"0,863333333","0,5","0,8217979336",Glucose,Monk 2015
22754,b1865,TP,"0,5","0,5","0,8217979336",Glucose,Monk 2015
22755,b1870,TP,"0,796666667","0,5","0,8217979336",Glucose,Monk 2015
22756,b1872,TP,"0,966666667","0,5","0,8217979336",Glucose,Monk 2015
22757,b1873,TP,"1,003333333","0,5","0,8217979336",Glucose,Monk 2015
22758,b1896,TP,"1,006666667","0,5","0,8217979336",Glucose,Monk 2015
22759,b1897,TP,"0,966666667","0,5","0,8217979336",Glucose,Monk 2015
22760,b1900,TP,"0,98","0,5","0,8217979336",Glucose,Monk 2015
22761,b1901,TP,"1,023333333","0,5","0,8217979336",Glucose,Monk 2015
22762,b1907,TP,"1,04","0,5","0,8217979336",Glucose,Monk 2015
22763,b1912,FP,0,"0,5","0,8217979336",Glucose,LB_essential
22764,b1917,TP,"1,036666667","0,5","0,8217979336",Glucose,Monk 2015
22765,b1918,TP,"1,06","0,5","0,8217979336",Glucose,Monk 2015
22766,b1919,TP,"1,066666667","0,5","0,8217979336",Glucose,Monk 2015
22767,b1920,TP,"1,073333333","0,5","0,8217979336",Glucose,Monk 2015
22768,b1927,TP,"0,976666667","0,5","0,8217979336",Glucose,Monk 2015
22769,b1967,TP,"0,963333333","0,5","0,8217979336",Glucose,Monk 2015
22770,b1981,TP,"0,98","0,5","0,8217979336",Glucose,Monk 2015
22771,b1982,TP,"1,043333333","0,5","0,8217979336",Glucose,Monk 2015
22772,b1985,TP,1,"0,5","0,8217979336",Glucose,Monk 2015
22773,b1990,TP,"1,006666667","0,5","0,8217979336",Glucose,Monk 2015
22774,b1991,TP,"1,03","0,5","0,8217979336",Glucose,Monk 2015
22775,b1992,TP,"1,018333333","0,5","0,8217979336",Glucose,Monk 2015
22776,b1993,TP,"0,976666667","0,5","0,8217979336",Glucose,Monk 2015
22777,b2010,TP,"1,063333333","0,5","0,8217979336",Glucose,Monk 2015
22778,b2014,TP,"1,066666667","0,5","0,8217979336",Glucose,Monk 2015
22779,b2019,TN,0,"0,5",0,Glucose,Monk 2015
22780,b2020,TN,0,"0,5",0,Glucose,Monk 2015
22781,b2021,TN,0,"0,5",0,Glucose,Monk 2015
22782,b2022,TN,0,"0,5",0,Glucose,Monk 2015
22783,b2023,TN,0,"0,5",0,Glucose,Monk 2015
22784,b2024,TN,0,"0,5",0,Glucose,Monk 2015
22785,b2025,TN,0,"0,5",0,Glucose,Monk 2015
22786,b2026,TN,0,"0,5",0,Glucose,Monk 2015
22787,b2027,TP,"1,006666667","0,5","0,8217979336",Glucose,Monk 2015
22788,b2028,TP,"0,746666667","0,5","0,8217979336",Glucose,Monk 2015
22789,b2029,TP,"0,926666667","0,5","0,8125879474",Glucose,Monk 2015
22790,b2032,TP,"0,996666667","0,5","0,8217979336",Glucose,Monk 2015
22791,b2033,TP,"1,003333333","0,5","0,8217979336",Glucose,Monk 2015
22792,b2034,TP,"0,896666667","0,5","0,8217979336",Glucose,Monk 2015
22793,b2035,TP,"1,043333333","0,5","0,8217979336",Glucose,Monk 2015
22794,b2036,TP,"0,963333333","0,5","0,8217979336",Glucose,Monk 2015
22795,b2037,TP,"1,013333333","0,5","0,8217979336",Glucose,Monk 2015
22796,b2038,TP,"0,923333333","0,5","0,8217979336",Glucose,Monk 2015
22797,b2039,TP,"0,976666667","0,5","0,8217979336",Glucose,Monk 2015
22798,b2040,TP,"1,006666667","0,5","0,8217979336",Glucose,Monk 2015
22799,b2041,TP,"1,01","0,5","0,8217979336",Glucose,Monk 2015
22800,b2047,TP,"0,98","0,5","0,8217979336",Glucose,Monk 2015
22801,b2048,TP,"1,016666667","0,5","0,8217979336",Glucose,Monk 2015
22802,b2049,TP,"0,978333333","0,5","0,8217979336",Glucose,Monk 2015
22803,b2051,TP,"0,993333333","0,5","0,8217979336",Glucose,Monk 2015
22804,b2052,TP,"0,97","0,5","0,8217979336",Glucose,Monk 2015
22805,b2053,TP,"0,946666667","0,5","0,8217979336",Glucose,Monk 2015
22806,b2065,TP,"0,923333333","0,5","0,8217979336",Glucose,Monk 2015
22807,b2066,TP,"1,09","0,5","0,8217979336",Glucose,Monk 2015
22808,b2091,TP,"0,886666667","0,5","0,8217979336",Glucose,Monk 2015
22809,b2092,TP,"0,966666667","0,5","0,8217979336",Glucose,Monk 2015
22810,b2093,TP,"0,95","0,5","0,8217979336",Glucose,Monk 2015
22811,b2095,TP,"0,88","0,5","0,8217979336",Glucose,Monk 2015
22812,b2096,TP,"1,07","0,5","0,8217979336",Glucose,Monk 2015
22813,b2097,TP,"0,99","0,5","0,8217979336",Glucose,Monk 2015
22814,b2103,FN,"0,533333333","0,5",0,Glucose,Monk 2015
22815,b2104,TP,"1,043333333","0,5","0,8217979336",Glucose,Monk 2015
22816,b2128,TP,"0,903333333","0,5","0,8217979336",Glucose,Monk 2015
22817,b2129,TP,"0,976666667","0,5","0,8217979336",Glucose,Monk 2015
22818,b2130,TP,"1,01","0,5","0,8217979336",Glucose,Monk 2015
22819,b2131,TP,"0,923333333","0,5","0,8217979336",Glucose,Monk 2015
22820,b2132,TP,"0,926666667","0,5","0,8217979336",Glucose,Monk 2015
22821,b2133,TP,"0,973333333","0,5","0,8217979336",Glucose,Monk 2015
22822,b2134,TP,"1,01","0,5","0,8217979336",Glucose,Monk 2015
22823,b2143,TP,"1,066666667","0,5","0,8217979336",Glucose,Monk 2015
22824,b2146,TP,"0,983333333","0,5","0,8217979336",Glucose,Monk 2015
22825,b2147,TP,"0,963333333","0,5","0,8217979336",Glucose,Monk 2015
22826,b2148,TP,"1,006666667","0,5","0,8217979336",Glucose,Monk 2015
22827,b2149,TP,"0,99","0,5","0,8217979336",Glucose,Monk 2015
22828,b2150,TP,"0,996666667","0,5","0,8217979336",Glucose,Monk 2015
22829,b2153,TN,0,"0,5",0,Glucose,LB_essential
22830,b2154,TP,1,"0,5","0,8217979336",Glucose,Monk 2015
22831,b2155,TP,"0,966666667","0,5","0,8217979336",Glucose,Monk 2015
22832,b2156,TP,"1,033333333","0,5","0,8217979336",Glucose,Monk 2015
22833,b2162,TP,1,"0,5","0,8217979336",Glucose,Monk 2015
22834,b2164,TP,"0,966666667","0,5","0,8217979336",Glucose,Monk 2015
22835,b2165,TP,"1,03","0,5","0,8217979336",Glucose,Monk 2015
22836,b2166,TP,"0,946666667","0,5","0,8217979336",Glucose,Monk 2015
22837,b2167,TP,"0,963333333","0,5","0,8217979336",Glucose,Monk 2015
22838,b2168,TP,"0,91","0,5","0,8217979336",Glucose,Monk 2015
22839,b2169,TP,"0,993333333","0,5","0,8217979336",Glucose,Monk 2015
22840,b2170,TP,"0,976666667","0,5","0,8217979336",Glucose,Monk 2015
22841,b2173,TP,"0,946666667","0,5","0,8217979336",Glucose,Monk 2015
22842,b2174,TP,"1,003333333","0,5","0,8217979336",Glucose,Monk 2015
22843,b2175,TP,"1,113333333","0,5","0,8217979336",Glucose,Monk 2015
22844,b2177,TP,"0,933333333","0,5","0,8217979336",Glucose,Monk 2015
22845,b2178,TP,"0,976666667","0,5","0,8217979336",Glucose,Monk 2015
22846,b2179,TP,"0,973333333","0,5","0,8217979336",Glucose,Monk 2015
22847,b2180,TP,"1,056666667","0,5","0,8217979336",Glucose,Monk 2015
22848,b2197,TP,"1,07","0,5","0,8217979336",Glucose,Monk 2015
22849,b2198,TP,"0,996666667","0,5","0,8217979336",Glucose,Monk 2015
22850,b2199,TP,"1,001666667","0,5","0,8217979336",Glucose,Monk 2015
22851,b2200,TP,"0,95","0,5","0,8217979336",Glucose,Monk 2015
22852,b2201,TP,"0,913333333","0,5","0,8217979336",Glucose,Monk 2015
22853,b2202,TP,"1,043333333","0,5","0,8217979336",Glucose,Monk 2015
22854,b2203,TP,"0,98","0,5","0,8217979336",Glucose,Monk 2015
22855,b2204,TP,"1,12","0,5","0,8217979336",Glucose,Monk 2015
22856,b2205,TP,"0,966666667","0,5","0,8217979336",Glucose,Monk 2015
22857,b2206,TP,"0,996666667","0,5","0,8217979336",Glucose,Monk 2015
22858,b2210,TP,"0,923333333","0,5","0,8217979336",Glucose,Monk 2015
22859,b2215,TP,"0,78","0,5","0,8217979336",Glucose,Monk 2015
22860,b2221,TP,"0,956666667","0,5","0,8217979336",Glucose,Monk 2015
22861,b2222,TP,"1,043333333","0,5","0,8217979336",Glucose,Monk 2015
22862,b2223,TP,"0,923333333","0,5","0,8217979336",Glucose,Monk 2015
22863,b2224,TP,"1,02","0,5","0,8217979336",Glucose,Monk 2015
22864,b2232,FP,"0,406666667","0,5","0,8217979336",Glucose,Monk 2015
22865,b2234,FP,0,"0,5","0,8217979336",Glucose,LB_essential
22866,b2235,FP,0,"0,5","0,8217979336",Glucose,LB_essential
22867,b2239,TP,"0,996666667","0,5","0,8217979336",Glucose,Monk 2015
22868,b2240,TP,"1,006666667","0,5","0,8217979336",Glucose,Monk 2015
22869,b2241,TP,"0,943333333","0,5","0,8217979341",Glucose,Monk 2015
22870,b2242,TP,"0,976666667","0,5","0,8217979341",Glucose,Monk 2015
22871,b2243,TP,"1,04","0,5","0,8217979341",Glucose,Monk 2015
